insert into works_on_project (researcher_id, project_id) values (70, 1);
insert into works_on_project (researcher_id, project_id) values (46, 2);
insert into works_on_project (researcher_id, project_id) values (23, 3);
insert into works_on_project (researcher_id, project_id) values (7, 4);
insert into works_on_project (researcher_id, project_id) values (20, 5);
insert into works_on_project (researcher_id, project_id) values (75, 6);
insert into works_on_project (researcher_id, project_id) values (11, 7);
insert into works_on_project (researcher_id, project_id) values (32, 8);
insert into works_on_project (researcher_id, project_id) values (65, 9);
insert into works_on_project (researcher_id, project_id) values (78, 11);
insert into works_on_project (researcher_id, project_id) values (55, 12);
insert into works_on_project (researcher_id, project_id) values (93, 13);
insert into works_on_project (researcher_id, project_id) values (53, 14);
insert into works_on_project (researcher_id, project_id) values (66, 15);
insert into works_on_project (researcher_id, project_id) values (39, 17);
insert into works_on_project (researcher_id, project_id) values (65, 18);
insert into works_on_project (researcher_id, project_id) values (84, 19);
insert into works_on_project (researcher_id, project_id) values (55, 20);
insert into works_on_project (researcher_id, project_id) values (96, 21);
insert into works_on_project (researcher_id, project_id) values (86, 22);
insert into works_on_project (researcher_id, project_id) values (9, 23);
insert into works_on_project (researcher_id, project_id) values (39, 24);
insert into works_on_project (researcher_id, project_id) values (49, 25);
insert into works_on_project (researcher_id, project_id) values (38, 26);
insert into works_on_project (researcher_id, project_id) values (50, 27);
insert into works_on_project (researcher_id, project_id) values (4, 28);
insert into works_on_project (researcher_id, project_id) values (81, 29);
insert into works_on_project (researcher_id, project_id) values (19, 30);
insert into works_on_project (researcher_id, project_id) values (61, 31);
insert into works_on_project (researcher_id, project_id) values (60, 32);
insert into works_on_project (researcher_id, project_id) values (73, 33);
insert into works_on_project (researcher_id, project_id) values (44, 34);
insert into works_on_project (researcher_id, project_id) values (29, 35);
insert into works_on_project (researcher_id, project_id) values (78, 36);
insert into works_on_project (researcher_id, project_id) values (16, 37);
insert into works_on_project (researcher_id, project_id) values (26, 38);
insert into works_on_project (researcher_id, project_id) values (1, 39);
insert into works_on_project (researcher_id, project_id) values (64, 40);
insert into works_on_project (researcher_id, project_id) values (95, 41);
insert into works_on_project (researcher_id, project_id) values (19, 42);
insert into works_on_project (researcher_id, project_id) values (31, 43);
insert into works_on_project (researcher_id, project_id) values (81, 44);
insert into works_on_project (researcher_id, project_id) values (64, 45);
insert into works_on_project (researcher_id, project_id) values (18, 46);
insert into works_on_project (researcher_id, project_id) values (5, 47);
insert into works_on_project (researcher_id, project_id) values (82, 48);
insert into works_on_project (researcher_id, project_id) values (76, 49);
insert into works_on_project (researcher_id, project_id) values (83, 50);
insert into works_on_project (researcher_id, project_id) values (69, 28);
insert into works_on_project (researcher_id, project_id) values (51, 49);
insert into works_on_project (researcher_id, project_id) values (4, 47);
insert into works_on_project (researcher_id, project_id) values (47, 5);
insert into works_on_project (researcher_id, project_id) values (74, 40);
insert into works_on_project (researcher_id, project_id) values (21, 9);
insert into works_on_project (researcher_id, project_id) values (68, 15);
insert into works_on_project (researcher_id, project_id) values (93, 3);
insert into works_on_project (researcher_id, project_id) values (77, 43);
insert into works_on_project (researcher_id, project_id) values (24, 1);
insert into works_on_project (researcher_id, project_id) values (79, 35);
insert into works_on_project (researcher_id, project_id) values (65, 3);
insert into works_on_project (researcher_id, project_id) values (61, 22);
insert into works_on_project (researcher_id, project_id) values (47, 43);
insert into works_on_project (researcher_id, project_id) values (47, 33);
insert into works_on_project (researcher_id, project_id) values (43, 1);
insert into works_on_project (researcher_id, project_id) values (47, 49);
insert into works_on_project (researcher_id, project_id) values (44, 10);
insert into works_on_project (researcher_id, project_id) values (63, 22);
insert into works_on_project (researcher_id, project_id) values (84, 12);
insert into works_on_project (researcher_id, project_id) values (39, 2);
insert into works_on_project (researcher_id, project_id) values (100, 10);
insert into works_on_project (researcher_id, project_id) values (79, 46);
insert into works_on_project (researcher_id, project_id) values (34, 1);
insert into works_on_project (researcher_id, project_id) values (34, 27);
insert into works_on_project (researcher_id, project_id) values (20, 9);
insert into works_on_project (researcher_id, project_id) values (11, 44);
insert into works_on_project (researcher_id, project_id) values (14, 33);
insert into works_on_project (researcher_id, project_id) values (3, 18);
insert into works_on_project (researcher_id, project_id) values (13, 28);
insert into works_on_project (researcher_id, project_id) values (84, 18);
insert into works_on_project (researcher_id, project_id) values (60, 50);
insert into works_on_project (researcher_id, project_id) values (54, 14);
insert into works_on_project (researcher_id, project_id) values (30, 29);
insert into works_on_project (researcher_id, project_id) values (73, 17);
insert into works_on_project (researcher_id, project_id) values (25, 12);
insert into works_on_project (researcher_id, project_id) values (88, 46);
insert into works_on_project (researcher_id, project_id) values (40, 7);
insert into works_on_project (researcher_id, project_id) values (11, 6);
insert into works_on_project (researcher_id, project_id) values (6, 37);
insert into works_on_project (researcher_id, project_id) values (6, 21);
insert into works_on_project (researcher_id, project_id) values (92, 21);
insert into works_on_project (researcher_id, project_id) values (22, 29);
